sku,vendor,title,super_category,primary_category,product_category_type,collection_name,material,colour_finish,width_mm,depth_mm,height_mm,installation_type,warranty_years,weight_kg,confidence
1X942I,Abey,Abey Barazza R15 1 & 3/4 Bowl Sink - 1X942I,Sinks,Kitchen Sinks,Undermount,Barazza R15,stainless steel,,1500,535,200,countertop,10,16.5,0.6666666666666666
1X842I,Abey,Abey Barazza R15 Double Bowl 1X842I,Sinks,Kitchen Sinks,Undermount,Barazza R15,stainless steel,,1200,500,180,undermount,25,20.0,0.67
1X7040I,Abey,Abey Barazza R15 Large Bowl - 1X7040I,Sinks,Kitchen Sinks,Topmount,Barazza R15,stainless steel,,800,500,180,countertop,1,12.5,0.67
1X4540I,Abey,Abey Barazza R15 Single Bowl - 1X4540I,Sinks,Kitchen Sinks,Undermount,Barazza R15,stainless steel,,540,440,200,undermount,15,6.6,0.67
1X3440I,Abey,Abey Barazza R15 Single Bowl 1X3440I,Sinks,Kitchen Sinks,Undermount,Barazza R15,stainless steel,,440,340,200,undermount,25,12.3,0.6666666666666666
1ISX100L,Abey,Abey Barazza Select 100 Left Hand Single Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX100L,Sinks,Kitchen Sinks,Topmount,,stainless steel,,1000,500,,,,,0.6799999999999999
1ISX100R,Abey,Abey Barazza Select 100 Right Hand Single Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX100R,Sinks,Kitchen Sinks,Topmount,Barazza Select 100,stainless steel,,1000,500,,,,,0.6666666666666666
1ISX120L,Abey,Abey Barazza Select 120 Left Hand 1 & 3/4 Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX120L,Sinks,Kitchen Sinks,Topmount,Barazza Select,stainless steel,,1200,,,Topmount,,,0.6666666666666666
1ISX120R,Abey,Abey Barazza Select 120 Right Hand 1 & 3/4 Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX120R,Sinks,Kitchen Sinks,Topmount,Barazza Select,stainless steel,,1200,500,,,,,0.6666666666666666
STQ360DDCO,Abey,Abey Boutique Lugano Double Bowl & Double Drainer - Artisan Copper - STQ360DDCO,Sinks,Kitchen Sinks,Double Bowl,Boutique,fibre-rock,,1200,550,210,,,,0.6285714285714287
STQ360DDB,Abey,Abey Boutique Lugano Double Bowl & Double Drainer - Black Pearl - STQ360DDB,Sinks,Kitchen Sinks,Double Bowl,Boutique,composite,Black Pearl,1200,500,185,,,,0.675
STQ360DDG,Abey,Abey Boutique Lugano Double Bowl & Double Drainer - Eureka Gold - STQ360DDG,Sinks,Kitchen Sinks,Double Bowl,Boutique Lugano,fibre-rock,Eureka Gold,1200,500,210,,,,0.6375000000000001
STQ450DLCO,Abey,Abey Boutique Lugano Left Hand 1 & 1/4 Bowl Drainer - Artisan Copper - STQ450DLCO,Sinks,Kitchen Sinks,Single Bowl,Boutique Lugano,fibre-rock,,1200,550,210,,,,0.6285714285714287
STQ450DLB,Abey,Abey Boutique Lugano Left Hand 1 & 1/4 Bowl Drainer - Black Pearl - STQ450DLB,Sinks,Kitchen Sinks,Single Bowl,Boutique Lugano,fibre-rock,Black Pearl,1200,500,,,,,0.6285714285714287
STQ450DRB,Abey,Abey Boutique Lugano Right Hand 1 & 1/4 Bowl Drainer - Black Pearl - STQ450DRB,Sinks,Kitchen Sinks,Single Bowl,Boutique Lugano,fibre-rock composite,Black Pearl,1250,510,200,,,,0.6625000000000001
STQ450DRG,Abey,Abey Boutique Lugano Right Hand 1 & 1/4 Bowl Drainer - Eureka Gold - STQ450DRG,Sinks,Kitchen Sinks,Single Bowl,Boutique Lugano,fibre-rock,Eureka Gold,,,,,,,0.6
STQ450SLB,Abey,Abey Boutique Lugano Single Left Hand Bowl & Drainer - Black Pearl - STQ450SLB,Sinks,Kitchen Sinks,Single Bowl,Boutique Lugano,,Black Pearl,450,,,,,,0.64
STQ450SLG,Abey,Abey Boutique Lugano Single Left Hand Bowl & Drainer - Eureka Gold - STQ450SLG,Sinks,Kitchen Sinks,Single Bowl,Boutique,fibre-rock,Eureka Gold,1000,525,215,,,,0.6375000000000001
STQ450SRCO,Abey,Abey Boutique Lugano Single Right Hand Bowl & Drainer - Artisan Copper - STQ450SRCO,Sinks,Kitchen Sinks,Single Bowl,Boutique,fibre-rock,,850,500,,,,,0.6166666666666667
STQ450SRB,Abey,Abey Boutique Lugano Single Right Hand Bowl & Drainer - Black Pearl - STQ450SRB,Sinks,Kitchen Sinks,Topmount,Boutique Lugano,fibre-rock,Black Pearl,450,,,,,,0.6166666666666667
CRQ450D,Abey,Abey Boutique Piazza Double Bowl 60/40 Sink - CRQ450D,Sinks,Kitchen Sinks,Topmount,Boutique,fibre-rock,Midnight Black,1000,520,215,,,,0.6375000000000001
CRQ400D,Abey,Abey Boutique Piazza Double Bowl Sink - CRQ400D,Sinks,Kitchen Sinks,Double Bowl,Boutique,fibre-rock,Midnight Black,1200,500,210,,,,0.6375000000000001
CRQ500,Abey,Abey Boutique Piazza Large Bowl Sink - CRQ500,Sinks,Kitchen Sinks,Topmount,Boutique,fibre-rock,Midnight Black,600,500,220,,,,0.6375000000000001
PZQ520D,Abey,Abey Boutique Piazza Plus 1 & 1/4 Bowl Sink - PZQ520D,Sinks,Kitchen Sinks,Topmount,Boutique,fibre-rock,Black,520,520,,,,,0.6428571428571429
PZQ760,Abey,Abey Boutique Piazza Plus Bowl Large Single Bowl Sink - PZQ760,Sinks,Kitchen Sinks,Topmount,Boutique Piazza Plus,fibre-rock,Midnight Black,760,,,Countertop,,,0.6285714285714287
PZQ400T,Abey,Abey Boutique Piazza Plus Triple Bowl Sink - PZQ400T,Sinks,Kitchen Sinks,Double Bowl,Boutique Piazza Plus,fibre-rock,Midnight Black,1200,500,200,,,,0.6375000000000001
CRQ680,Abey,Abey Boutique Piazza Super Single Bowl - CRQ680,Sinks,Kitchen Sinks,Topmount,Boutique,fibre-rock,Midnight Black,680,440,210,,,,0.6375000000000001
PSQ1200,Abey,Abey Boutique Slim 1200 Kitchen Sink - PSQ1200,Sinks,Kitchen Sinks,Topmount,Boutique,fibre-rock,Midnight Black,1200,,,countertop,,,0.6166666666666666
PSQ900,Abey,Abey Boutique Slim 900 Kitchen Sink - PSQ900,Sinks,Kitchen Sinks,Topmount,Boutique,fibre-rock,Midnight Black,900,515,180,,,,0.6375000000000001
CHARLES-1W,Abey,Abey Chambord Charles Large Double Bowl Fireclay Sink - CHARLES-1W,Sinks,Kitchen Sinks,Topmount,Chambord Charles,fireclay,White,1200,500,,,,,0.6857142857142857
CLOTAIRE-2WT,Abey,Abey Chambord Clotaire Double Sink & 400674 Kitchen Mixer - Chrome - CLOTAIRE-2WT,Sinks,Kitchen Sinks,Topmount,Chambord,fireclay,Chrome,1200,450,210,,,,0.6875
CLOTAIRE-2W,Abey,Abey Chambord Clotaire Large Double Bowl Fire Clay Ceramic Sink - CLOTAIRE-2W,Sinks,Kitchen Sinks,Topmount,Chambord,fireclay ceramic,White,1200,550,200,,10,75.0,0.67
CLOTAIRE-1W,Abey,Abey Chambord Clotaire Small Single Bowl Ceramic Sink - CLOTAIRE-1W,Sinks,Kitchen Sinks,Topmount,Chambord,ceramic,White,400,400,170,,,,0.6875
CONSTANCE-3B,Abey,Abey Chambord Constance Large Bowl Fireclay Black Sink - CONSTANCE-3B,Sinks,Kitchen Sinks,Undermount,Chambord Constance,fireclay,Black,780,470,225,undermount,,,0.6888888888888889
CONSTANCE-4B,Abey,Abey Chambord Constance Large Bowl Fireclay Black Sink - CONSTANCE-4B,Sinks,Kitchen Sinks,Butler,Chambord,fireclay,Black,600,500,215,,,,0.6875
CONSTANCE-3W,Abey,Abey Chambord Constance Large Single Bowl Fireclay Sink - CONSTANCE-3W,Sinks,Kitchen Sinks,Butler,Chambord,fireclay,White,1200,550,230,undermount,,,0.6888888888888889
CONSTANCE-4W,Abey,Abey Chambord Constance Large Single Bowl Fireclay Sink - CONSTANCE-4W,Sinks,Kitchen Sinks,Undermount,Chambord,fireclay,Glazed,750,450,200,,10,,0.6666666666666666
HENRI-3W,Abey,Abey Chambord Henri 1 & 1-2 Bowl Ceramic Sink - HENRI-3W,Sinks,Kitchen Sinks,Topmount,Chambord,ceramic,White,1200,530,,,,,0.6857142857142857
HENRI-2W,Abey,Abey Chambord Henri Large Single Bowl Ceramic Sink - HENRI-2W,Sinks,Kitchen Sinks,Topmount,Chambord,ceramic,White,580,470,200,,,,0.6875
HENRI-1W,Abey,Abey Chambord Henri Single Bowl Ceramic Sink - HENRI-1W,Sinks,Kitchen Sinks,Topmount,Chambord,ceramic,White,595,440,200,,,,0.6875
LEGRANDE-2W,Abey,Abey Chambord LEGRANDE Large 1 & 1/2 Reversible Fire Clay Sink - LEGRANDE-2W,Sinks,Kitchen Sinks,Topmount,Chambord LEGRANDE,fire clay,,1524,559,,,,,0.6166666666666667
LEGRANDE-3W,Abey,Abey Chambord LEGRANDE Large Bowl Reversible Fireclay - LEGRANDE-3W,Sinks,Kitchen Sinks,Butler,Chambord,fireclay,Not specified,820,460,235,Reversible,,,0.6555555555555554
LEGRANDE-1W,Abey,Abey Chambord Legrande Single Bowl Reversible Fireclay - LEGRANDE-1W,Sinks,Kitchen Sinks,Topmount,Chambord Legrande,fireclay,,500,400,215,undermount,25,17.5,0.67
LOUIS-2W,Abey,Abey Chambord Louis Large Single Bowl Ceramic Sink 795 - LOUIS-2W,Sinks,Kitchen Sinks,Topmount,Chambord Louis,ceramic,,795,,,,,,0.6599999999999999
LOUIS-1W,Abey,Abey Chambord Louis Single Bowl Ceramic Sink 595 - LOUIS-1W,Sinks,Kitchen Sinks,Topmount,Chambord Louis,ceramic,White,595,,,,,,0.6833333333333332
PHILIPPE-2W,Abey,Abey Chambord Philippe II  Single Bowl Ceramic White - PHILIPPE-2W,Sinks,Kitchen Sinks,Topmount,Chambord,ceramic,White,560,450,215,,,,0.6875
CNA-5-388,Abey,Abey Concertina 5 Section - CNA-5-388,Sinks,Kitchen Sinks,Topmount,Concertina,stainless steel,,388,,,,,,0.6599999999999999
1QA841IK,Abey,Abey Flexi Large Bowl Sink with Grids - 1QA841IK,Sinks,Kitchen Sinks,Countertop,Flexi,stainless steel,,910,440,200,countertop,10,14.5,0.67
LT120BP,Abey,Abey L120 Black Pearl Kitchen Sink - Overflow - LT120BP,Sinks,Kitchen Sinks,Undermount,Black Pearl,stainless steel,Black,1200,,,Inset|Undermount|Flushmount,,,0.6857142857142857
NL180,Abey,Abey Lago 1 & 1/3 Bowl Kitchen Sink with Drainer - NL180,Sinks,Kitchen Sinks,Undermount,Lago,stainless steel,,1800,500,200,undermount,10,20.0,0.67
NL200T16,Abey,Abey Lago Double Bowl Sink Package with Gooseneck Pull-Out Sink Mixer - NL200T16,Sinks,Kitchen Sinks,Countertop,Lago,stainless steel,,1160,508,203,Countertop,10,14.0,0.6499999999999998
NL200,Abey,Abey Lago NL200 Double Bowl Sink & Drainer - Stainless Steel,Sinks,Kitchen Sinks,Countertop,Lago,stainless steel,,1200,500,160,Countertop,,,0.675
NL100,Abey,Abey Lago Single Bowl Kitchen Sink - Includes Drainer - NL100,Sinks,Kitchen Sinks,Topmount,Lago,stainless steel,,1000,500,200,Countertop,25,12.5,0.6636363636363636
LUA190,Abey,Abey Lucia 1 & 1/3 Bowl Sink - LUA190,Sinks,Kitchen Sinks,Undermount,Lucia,stainless steel,,1900,510,215,undermount,7,32.0,0.67
LUA221,Abey,"Abey Lucia 1 & 3/4 Bowl Sink - Includes Drainer, Waste & Chopping Board - LUA221",Sinks,Kitchen Sinks,Double Bowl,Lucia,stainless steel,,1200,500,200,undermount,5,13.0,0.67
LUA190T14,Abey,"Abey Lucia Bowl & Three Quarter Sink With KTA014-BR Kitchen Mixer, Drain Tray & Cutting Board - LUA190T14",Sinks,Kitchen Sinks,Undermount,Lucia,stainless steel,Brushed,1900,500,,undermount,,,0.6636363636363636
LUA200,Abey,Abey Lucia Double Bowl Sink - LUA200,Sinks,Kitchen Sinks,Topmount,Lucia,stainless steel,,1800,500,200,,10,25.0,0.6666666666666666
LUA200T14,Abey,"Abey Lucia Double Bowl with KTA014-BR Kitchen Mixer, Drain Tray & Cutting Board - LUA200T14",Sinks,Kitchen Sinks,Topmount,Lucia,stainless steel,,1200,500,200,Countertop,10,18.6,0.6583333333333333
LUA221T14,Abey,"Abey Lucia LUA221 Bowl & Three Quarter Sink With KTA014-BR Kitchen Mixer, Drain Tray & Cutting Board - LUA221T14",Sinks,Kitchen Sinks,Topmount,Lucia,stainless steel,Brushed,1000,600,210,Countertop,10,12.5,0.6599999999999999
LUA130,Abey,Abey Lucia Large Single Bowl Sink + DTA16 - LUA130,Sinks,Kitchen Sinks,Topmount,Lucia,ceramic,White,1300,510,200,,,,0.6875
LUA100,Abey,Abey Lucia Single Bowl Sink - LUA100,Sinks,Kitchen Sinks,Topmount,Lucia,stainless steel,,1000,500,200,,,,0.6714285714285715
ST460DU,Abey,Abey Lugano 1 & 3-4 Bowl Undermount Sink - ST460DU,Sinks,Kitchen Sinks,Undermount,Lugano,stainless steel,,460,,,,,,0.6599999999999999
ST340DU,Abey,Abey Lugano Double Bowl Undermount Sink - ST340DU,Sinks,Kitchen Sinks,Undermount,Lugano,stainless steel,,860,460,200,undermount,7,13.5,0.67
ST460SU,Abey,Abey Lugano Single Bowl Undermount Sink - ST460SU,Sinks,Kitchen Sinks,Undermount,Lugano,stainless steel,,460,,,,,,0.6599999999999999
MOA360D,Abey,Abey Montego Double Bowl Sink - 304 Stainless Steel - MOA360D,Sinks,Kitchen Sinks,Topmount,Montego,stainless steel,,1160,500,210,,,,0.6714285714285715
MOA420D,Abey,Abey Montego Large Bowl & Three Quarter Bowl Sink - MOA420D,Sinks,Kitchen Sinks,Undermount,Montego,stainless steel,Brushed,420,420,180,undermount,10,6.5,0.6818181818181818
MOA360,Abey,Abey Montego Single Bowl Sink - 304 Stainless Steel - MOA360,Sinks,Kitchen Sinks,Topmount,Montego,stainless steel,,450,360,200,countertop,7,7.5,0.67
CR340,Abey,Abey Piazza CR340 Inset or Undermount Sink,Sinks,Kitchen Sinks,Undermount,Piazza,stainless steel,,340,,,,,,0.6599999999999999
CR340D,Abey,Abey Piazza CR340D Double Bowl Sink,Sinks,Kitchen Sinks,Undermount,Piazza,stainless steel,,1160,450,,Undermount,,,0.6714285714285715
CR500D,Abey,Abey Piazza CR500D Inset Piazza,Sinks,Kitchen Sinks,Topmount,Piazza,stainless steel,,500,,,,,,0.6599999999999999
CR540,Abey,Abey Piazza CR540 Inset or Undermount Sink,Sinks,Kitchen Sinks,Undermount,Piazza,stainless steel,Pre-finished,540,,,,,,0.65
CR720,Abey,Abey Piazza CR720 Inset or Undermount Sink,Sinks,Kitchen Sinks,Undermount,Piazza,stainless steel,,720,,,,,,0.6599999999999999
CR340DCO,Abey,Abey Piazza Double Square Bowl Artisan Copper - CR340DCO,Sinks,Kitchen Sinks,Topmount,Piazza,copper,,1200,500,,,,,0.6666666666666666
CR340DB,Abey,Abey Piazza Double Square Bowl Black Pearl - CR340DB,Sinks,Kitchen Sinks,Topmount,Piazza,stainless steel,Black Pearl,800,450,,countertop,,,0.675
CR340DG,Abey,Abey Piazza Double Square Bowl Eureka Gold - CR340DG,Sinks,Kitchen Sinks,Undermount,Piazza,stainless steel,Eureka Gold,860,460,200,undermount,5,15.0,0.6666666666666666
CR720CO,Abey,Abey Piazza Large Topmount/Undermount Single Bowl Sink - Artizan Copper - CR720CO,Sinks,Kitchen Sinks,Topmount/Undermount,Piazza,stainless steel,,810,455,,"topmount, undermount",,,0.6416666666666665
CR720B,Abey,Abey Piazza Large Topmount/Undermount Single Bowl Sink - Black Pearl - CR720B,Sinks,Kitchen Sinks,Topmount,Piazza,stainless steel,Black Pearl,770,440,,,,,0.6714285714285715
CR720G,Abey,Abey Piazza Large Topmount/Undermount Single Bowl Sink - Eureka Gold - CR720G,Sinks,Kitchen Sinks,"Topmount,Undermount",Piazza,stainless steel,Eureka Gold,450,400,,"Topmount,Undermount",,,0.6461538461538461
CR500DCO,Abey,Abey Piazza One & 3-4 Square Bowl Artisan Copper - CR500DCO,Sinks,Kitchen Sinks,Topmount,Piazza,copper,,500,500,,,,,0.6666666666666666
CR500DB,Abey,Abey Piazza One & 3-4 Square Bowl Black Pearl - CR500DB,Sinks,Kitchen Sinks,Topmount,Piazza,unknown,Black Pearl,500,,,Countertop,,,0.6285714285714287
CR500DG,Abey,Abey Piazza One & 3-4 Square Bowl Eureka Gold - CR500DG,Sinks,Kitchen Sinks,Undermount,Piazza,stainless steel,Eureka Gold,500,500,,countertop,,,0.675
CR500CO,Abey,Abey Piazza Single Bowl Artisan Copper - CR500CO,Sinks,Kitchen Sinks,Topmount,Piazza,copper,,500,,,,,,0.6599999999999999
CR500B,Abey,Abey Piazza Single Bowl Black Pearl - CR500B,Sinks,Kitchen Sinks,Topmount,Piazza,stainless steel,Black Pearl,500,500,,,,,0.6714285714285715
CR500G,Abey,Abey Piazza Single Bowl Eureka Gold - CR500G,Sinks,Kitchen Sinks,Undermount,Piazza,stainless steel,Gold,500,400,,,,,0.6857142857142857
CR340CO,Abey,Abey Piazza Square Bowl Artisan Copper - CR340CO,Sinks,Kitchen Sinks,Topmount,Piazza,copper,,340,,,,,,0.6599999999999999
CR340G,Abey,Abey Piazza Square Bowl Eureka Gold - CR340G,Sinks,Kitchen Sinks,Undermount,Piazza,stainless steel,Eureka Gold,340,340,,undermount,10,5.0,0.6636363636363636
N200B,Abey,Abey SCHOCK Horizont Topmount Double Bowl Sink 1TH - Magma - N200B,Sinks,Kitchen Sinks,Topmount,Horizont,nanogranite,Magma,855,510,190,Topmount,,15.6,0.6454545454545454
N200W,Abey,Abey SCHOCK Horizont Topmount Double Bowl Sink 1TH - Polaris - N200W,Sinks,Kitchen Sinks,Topmount,Horizont,nanogranite,Polaris,1000,510,,,,,0.6428571428571429
N200P,Abey,Abey SCHOCK Horizont Topmount Double Bowl Sink 1TH - Puro - N200P,Sinks,Kitchen Sinks,Topmount,Horizont,nanogranite,Puro,860,435,,,,,0.6375
N200S,Abey,Abey SCHOCK Horizont Topmount Double Bowl Sink 1TH - Stone - N200S,Sinks,Kitchen Sinks,Topmount,Horizont,nanogranite,,800,510,,,,,0.65
N200UB,Abey,Abey SCHOCK Horizont Undermount Double Bowl Sink - Magma - N200UB,Sinks,Kitchen Sinks,Undermount,Horizont,nanogranite composite,Magma,1160,500,210,,25,28.0,0.65
N200UW,Abey,Abey SCHOCK Horizont Undermount Double Bowl Sink - Polaris - N200UW,Sinks,Kitchen Sinks,Undermount,Horizont,nanogranite,Polaris,1000,500,200,undermount,99,28.5,0.6454545454545454
N200US,Abey,Abey SCHOCK Horizont Undermount Double Bowl Sink - Stone - N200US,Sinks,Kitchen Sinks,Undermount,Horizont,stone,,1000,500,,undermount,,,0.6166666666666666
QN-150W,Abey,Abey SCHOCK Quadro 1 & 1/3 Bowl Sink - Alpina - QN-150W,Sinks,Kitchen Sinks,Double Bowl,Quadro,nanogranite,Alpina,1500,,,,,,0.6333333333333334
QN-150C,Abey,Abey SCHOCK Quadro 1 & 1/3 Bowl Sink - Concrete - QN-150C,Sinks,Kitchen Sinks,Topmount,Quadro,nanogranite,Concrete,1500,500,190,countertop,10,33.5,0.6545454545454545
QN-150CR,Abey,Abey SCHOCK Quadro 1 & 1/3 Bowl Sink - Croma - QN-150CR,Sinks,Kitchen Sinks,Undermount,Quadro,nanogranite,Croma,1500,500,200,undermount,10,31.0,0.6545454545454545
QN-150B,Abey,Abey SCHOCK Quadro 1 & 1/3 Bowl Sink - Onyx - QN-150B,Sinks,Kitchen Sinks,Undermount,Quadro,nanogranite,Onyx,1500,540,200,,10,30.7,0.65
QN-100W,Abey,Abey SCHOCK Quadro Large Topmount-Undermount Single Bowl Sink - Alpina - QN-100W,Sinks,Kitchen Sinks,Topmount,Quadro,nanogranite,Alpina,1000,,,"Topmount, Undermount",,,0.6428571428571429
QN-100CR,Abey,Abey SCHOCK Quadro Large Topmount-Undermount Single Bowl Sink - Croma - QN-100CR,Sinks,Kitchen Sinks,,,,,,,,,,,0.927
QN-100B,Abey,Abey SCHOCK Quadro Large Topmount-Undermount Single Bowl Sink - Onyx - QN-100B,Sinks,Kitchen Sinks,Topmount,Quadro,nanogranite,Onyx,1000,500,,,,,0.6428571428571429
QN-100SW,Abey,Abey SCHOCK Quadro Topmount-Undermount Single Bowl Sink - Alpina - QN-100SW,Sinks,Kitchen Sinks,Topmount-Undermount,Quadro,nanogranite,Alpina,1000,500,,,,,0.6428571428571429
QN-100SC,Abey,Abey SCHOCK Quadro Topmount-Undermount Single Bowl Sink - Concrete - QN-100SC,Sinks,Kitchen Sinks,,,,,,,,,,,0.947
QN-100SCR,Abey,Abey SCHOCK Quadro Topmount-Undermount Single Bowl Sink - Croma - QN-100SCR,Sinks,Kitchen Sinks,Topmount,Quadro,nanogranite,Croma,1000,500,,,,,0.6428571428571429
QN-100SB,Abey,Abey SCHOCK Quadro Topmount-Undermount Single Bowl Sink - Onyx - QN-100SB,Sinks,Kitchen Sinks,Topmount,Schock Quadro,nanogranite,Onyx,1000,500,208,"Topmount, Undermount",25,31.0,0.6545454545454545
N-100XLB,Abey,Abey SCHOCK Signus Large Topmount Single Bowl Sink 1TH - Magma - N-100XLB,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Magma,1000,510,,,,,0.6375
N-100XLW,Abey,Abey SCHOCK Signus Large Topmount Single Bowl Sink 1TH - Polaris - N-100XLW,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Polaris,860,480,,,,,0.6428571428571429
N-100XLP,Abey,Abey SCHOCK Signus Large Topmount Single Bowl Sink 1TH - Puro - N-100XLP,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Puro,1000,500,200,topmount,25,18.4,0.6545454545454545
N-100XLS,Abey,Abey SCHOCK Signus Large Topmount Single Bowl Sink 1TH - Stone - N-100XLS,Sinks,Kitchen Sinks,Topmount,Signus,stone,,810,460,,,,,0.6166666666666667
N-100XLYB,Abey,Abey SCHOCK Signus N-100XLY Undermount Sink  - Magma - N-100XLYB,Sinks,Kitchen Sinks,Undermount,Signus,nanogranite,Magma,1000,510,210,,,,0.65
N-100XLYW,Abey,Abey SCHOCK Signus N-100XLY Undermount Sink - Polaris - N-100XLYW,Sinks,Kitchen Sinks,Undermount,Signus,composite nanogranite,Polaris,1000,500,200,undermount,,30.5,0.6454545454545454
N-100XLYS,Abey,Abey SCHOCK Signus N-100XLY Undermount Sink - Stone - N-100XLYS,Sinks,Kitchen Sinks,Undermount,Signus,nanogranite,,580,480,210,undermount,15,15.9,0.66
D200BL,Abey,Abey SCHOCK Signus Topmount 1 & 3/4 Left Hand Bowl Sink 1TH - Magma - D200BL,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Magma,770,435,220,,25,19.3,0.65
D200WL,Abey,Abey SCHOCK Signus Topmount 1 & 3/4 Left Hand Bowl Sink 1TH - Polaris - D200WL,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Polaris,730,460,215,topmount,10,15.2,0.65
D200PL,Abey,Abey SCHOCK Signus Topmount 1 & 3/4 Left Hand Bowl Sink 1TH - Puro - D200PL,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Puro,700,440,200,Topmount,10,24.6,0.65
D200SL,Abey,Abey SCHOCK Signus Topmount 1 & 3/4 Left Hand Bowl Sink 1TH - Stone - D200SL,Sinks,Kitchen Sinks,Topmount,Signus,composite,,200,,,,,,0.6599999999999999
D200BR,Abey,Abey SCHOCK Signus Topmount 1 & 3/4 Right Hand Bowl Sink 1TH - Magma - D200BR,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Magma,760,500,200,topmount,10,23.5,0.65
D200WR,Abey,Abey SCHOCK Signus Topmount 1 & 3/4 Right Hand Bowl Sink 1TH - Polaris - D200WR,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Polaris,700,440,205,Topmount,25,16.7,0.65
D200PR,Abey,Abey SCHOCK Signus Topmount 1 & 3/4 Right Hand Bowl Sink 1TH - Puro - D200PR,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Puro,810,500,200,,,,0.65
D200SR,Abey,Abey SCHOCK Signus Topmount 1 & 3/4 Right Hand Bowl Sink 1TH - Stone - D200SR,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,,790,500,200,topmount,25,26.9,0.66
D100BL,Abey,Abey SCHOCK Signus Topmount Single Left Hand Bowl Sink & Drainer 1TH - Magma - D100BL,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Magma,1000,500,200,Topmount,,,0.6357142857142856
D100WL,Abey,Abey SCHOCK Signus Topmount Single Left Hand Bowl Sink & Drainer 1TH - Polaris - D100WL,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Polaris,1000,500,,,,,0.6428571428571429
D100PL,Abey,Abey SCHOCK Signus Topmount Single Left Hand Bowl Sink & Drainer 1TH - Puro - D100PL,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Puro,1000,600,,,,,0.6428571428571429
D100SL,Abey,Abey SCHOCK Signus Topmount Single Left Hand Bowl Sink & Drainer 1TH - Stone - D100SL,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,,1000,520,,,,,0.6428571428571429
D100BR,Abey,Abey SCHOCK Signus Topmount Single Right Hand Bowl Sink & Drainer 1TH - Magma - D100BR,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Magma,1000,500,,,,,0.6428571428571429
D100WR,Abey,Abey SCHOCK Signus Topmount Single Right Hand Bowl Sink & Drainer 1TH - Polaris - D100WR,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Polaris,1000,500,20,topmount,,,0.6399999999999999
D100PR,Abey,Abey SCHOCK Signus Topmount Single Right Hand Bowl Sink & Drainer 1TH - Puro - D100PR,Sinks,Kitchen Sinks,Topmount,Signus,nanogranite,Puro,1000,520,,,,,0.6428571428571429
D100SR,Abey,Abey SCHOCK Signus Topmount Single Right Hand Bowl Sink & Drainer 1TH - Stone - D100SR,Sinks,Kitchen Sinks,Topmount,Signus,stone,,1000,500,,topmount,,,0.6285714285714287
N100SB,Abey,Abey SCHOCK Soho N100S Topmount-Undermount Sink - Magma - N100SB,Sinks,Kitchen Sinks,Topmount-Undermount,Soho,nanogranite,Magma,780,440,,"topmount, undermount",,,0.6307692307692307
N100SW,Abey,Abey SCHOCK Soho N100S Topmount-Undermount Sink - Polaris - N100SW,Sinks,Kitchen Sinks,Topmount,Soho,nanogranite,Polaris,1000,500,200,Topmount-Undermount,,24.4,0.6357142857142856
N100SS,Abey,Abey SCHOCK Soho N100S Topmount-Undermount Sink - Stone - N100SS,Sinks,Kitchen Sinks,Topmount,Soho,nanogranite,,1000,500,,,,,0.65
TD200NL,Abey,Abey SCHOCK Typos Topmount 1 & 3-4 Left Hand Bowl Sink & Drainer 1TH - Nero - TD200NL,Sinks,Kitchen Sinks,Topmount,Schock Typos,nanogranite,Nero,1000,500,200,Topmount,10,35.0,0.65
TD200BL,Abey,Abey SCHOCK Typos Topmount 1 & 3-4 Left Hand Bowl Sink & Drainer 1TH - Onyx - TD200BL,Sinks,Kitchen Sinks,Topmount,Typos,nanogranite,Onyx,1200,500,200,topmount,25,28.7,0.65
TD200WL,Abey,Abey SCHOCK Typos Topmount 1 & 3/4 Left Hand Bowl Sink & Drainer 1TH - Alpina - TD200WL,Sinks,Kitchen Sinks,Topmount,Typos,nanogranite,Alpina,860,500,190,topmount,,,0.6555555555555556
TD200CRL,Abey,Abey SCHOCK Typos Topmount 1 & 3/4 Left Hand Bowl Sink & Drainer 1TH - Croma - TD200CRL,Sinks,Kitchen Sinks,,,,,,,,,,,0.953
